temp,windspeed,rain,HomeTeam,AwayTeam,HTHG,HTAG,HS,AS,HST,AST,HC,HY,AY,HR,AR,League Year,ExpectedBetHomeWin,ExpectedBetDraw,ExpectedBetAwayWin,FinalResult,Goal_Difference,Home_Attack,Home_Midfield,Home_Defence,Home_Overall,Away_Attack,Away_Midfield,Away_Defence,Away_Overall
60.8,11.7,0,Liverpool,Man United,1.0,0.0,10.0,10.0,5.0,4.0,2.0,2.0,4.0,0.0,0.0,2013,2.6125,3.3249999999999997,2.8024999999999993,2,1.0,76,79,78,80,85,79,80,82
60.8,11.7,0,West Brom,Swansea,0.0,1.0,10.0,12.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0,2013,2.6125,3.4,2.7375,0,0.0,70,74,72,74,79,74,75,76
53.6,13.6,1,Aston Villa,Newcastle,0.0,1.0,10.0,17.0,1.0,8.0,4.0,1.0,4.0,0.0,0.0,2013,2.15,3.3,3.6,0,0.0,72,71,74,74,78,75,76,76
53.6,13.6,1,Everton,Chelsea,1.0,0.0,11.0,22.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,2013,3.375,3.3,2.3125,2,1.0,78,78,78,78,81,82,81,82
53.6,13.6,1,Fulham,West Brom,1.0,0.0,12.0,12.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,2013,2.1625,3.375,3.5999999999999996,1,1.0,71,74,72,75,70,74,72,74
53.6,13.6,1,Hull,Cardiff,1.0,0.0,18.0,10.0,5.0,2.0,6.0,1.0,2.0,0.0,0.0,2013,2.4375,3.1875,3.125,1,1.0,72,71,71,72,72,70,73,72
53.6,13.6,1,Man United,Crystal Palace,1.0,0.0,19.0,4.0,7.0,0.0,10.0,1.0,2.0,0.0,1.0,2013,1.22,6.625,15.0,2,1.0,85,79,80,82,71,72,71,72
53.6,13.6,1,Stoke,Man City,0.0,0.0,11.0,10.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2013,5.8125,3.7750000000000004,1.6549999999999998,1,0.0,76,73,73,74,84,83,81,82
53.6,13.6,1,Sunderland,Arsenal,0.0,1.0,17.0,14.0,2.0,6.0,6.0,1.0,2.0,0.0,0.0,2013,5.875,3.6999999999999997,1.66,0,0.0,74,73,73,74,79,81,80,80
53.6,13.6,1,Tottenham,Norwich,1.0,0.0,23.0,4.0,7.0,1.0,8.0,1.0,3.0,0.0,0.0,2013,1.455,4.3375,8.0,2,1.0,77,80,78,80,74,74,74,74
53.2,18.5,0,Southampton,West Ham,0.0,0.0,15.0,6.0,5.0,1.0,10.0,1.0,3.0,0.0,0.0,2013,1.84,3.5500000000000003,4.5625,1,0.0,76,76,73,75,76,74,72,74
52.9,19.8,0,Swansea,Liverpool,1.0,2.0,17.0,12.0,8.0,5.0,3.0,2.0,3.0,0.0,0.0,2013,3.4250000000000003,3.425,2.2,1,0.0,79,74,75,76,76,79,78,80
58.7,11.0,0,Chelsea,Fulham,0.0,0.0,26.0,4.0,10.0,1.0,13.0,0.0,0.0,0.0,0.0,2013,1.2925,5.5,12.125,2,0.0,81,82,81,82,71,74,72,75
58.7,11.0,0,Liverpool,Southampton,0.0,0.0,10.0,12.0,5.0,7.0,6.0,0.0,1.0,0.0,0.0,2013,1.6025,3.925,6.0625,0,0.0,76,79,78,80,76,76,73,75
58.7,11.0,0,Newcastle,Hull,2.0,1.0,15.0,12.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,2013,1.815,3.4250000000000003,4.9375,0,1.0,78,75,76,76,72,71,71,72
58.7,11.0,0,Norwich,Aston Villa,0.0,1.0,12.0,16.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,2013,2.4124999999999996,3.35,3.1,0,0.0,74,74,74,74,72,71,74,74
58.7,11.0,0,West Brom,Sunderland,1.0,0.0,13.0,7.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,2013,2.0374999999999996,3.325,4.0,2,1.0,70,74,72,74,74,73,73,74
58.7,11.0,0,West Ham,Everton,1.0,0.0,9.0,10.0,1.0,4.0,5.0,2.0,1.0,1.0,0.0,2013,3.175,3.275,2.3625,0,1.0,76,74,72,74,78,78,78,78
62.6,6.9,0,Arsenal,Stoke,2.0,1.0,16.0,9.0,8.0,3.0,6.0,0.0,2.0,0.0,0.0,2013,1.3675,4.9375,9.8125,2,1.0,79,81,80,80,76,73,73,74
62.6,6.9,0,Cardiff,Tottenham,0.0,0.0,6.0,29.0,0.0,12.0,2.0,1.0,4.0,0.0,0.0,2013,4.4125,3.5,1.8825,0,0.0,72,70,73,72,77,80,78,80
