League Year,Team Name,Attack,Midfield,Defence,Overall
2016,Chelsea,86,84,81,83
2016,Manchester United,84,84,82,83
2016,Manchester City,83,85,81,83
2016,Arsenal,81,83,82,83
2016,Tottenham Hotspur,85,81,81,81
2016,Liverpool,82,81,81,81
2016,Everton,85,78,79,80
2016,Leicester City,79,78,76,78
2016,West Ham United,79,77,77,78
2016,Southampton,78,76,77,78
2016,Stoke City,77,78,77,78
2016,Crystal Palace,80,77,76,77
2016,Watford,78,78,76,77
2016,Swansea City,78,76,75,77
2016,Sunderland,81,76,73,76
2016,West Bromwich Albion,81,76,74,75
2016,Hull City,76,74,75,75
2016,Middlesbrough,76,74,74,75
2016,Bournemouth,74,75,74,74
2016,Burnley,74,74,76,74
